rank,layer,feature_id,abs_delta_sum,signed_delta_sum,donor_mean,recipient_mean,donor_active_fraction,recipient_active_fraction,token_count
180,20,749,9.553564071655273,5.720426559448242,3.2214558919270835,2.744753837585449,0.75,0.5833333333333334,12
181,20,9974,9.535917282104492,-3.3453292846679688,0.6483831405639648,0.9271605809529623,0.16666666666666666,0.25,12
182,20,16177,9.4895658493042,8.938238143920898,1.0784729321797688,0.33361975351969403,0.3333333333333333,0.08333333333333333,12
183,20,866,9.480697631835938,-9.480697631835938,0.0,0.7900581359863281,0.0,0.25,12
184,20,11135,9.480247497558594,-9.480247497558594,0.0,0.7900206247965494,0.0,0.16666666666666666,12
185,20,4105,9.394683837890625,9.394683837890625,0.7828903198242188,0.0,0.25,0.0,12
186,20,12608,9.390331268310547,7.595332145690918,3.654695510864258,3.0217514038085938,0.9166666666666666,0.75,12
187,20,2745,9.364664077758789,9.364664077758789,1.7235808372497559,0.9431921641031901,0.4166666666666667,0.25,12
188,20,16136,9.3372802734375,9.3372802734375,0.778106689453125,0.0,0.25,0.0,12
189,20,1462,9.2315673828125,-3.0770907402038574,0.256436546643575,0.5128607749938965,0.08333333333333333,0.16666666666666666,12
190,20,6988,9.170394897460938,-2.5081615447998047,1.657509167989095,1.8665227890014648,0.5,0.5,12
191,20,10948,9.134566307067871,9.134566307067871,1.9242089589436848,1.1629950205485027,0.5,0.3333333333333333,12
192,20,8425,9.089752197265625,-8.095370292663574,1.536115010579427,2.2107292811075845,0.4166666666666667,0.5,12
193,20,12594,9.067814826965332,8.376893043518066,2.037997086842855,1.339922587076823,0.5833333333333334,0.4166666666666667,12
194,20,15136,9.022968292236328,-9.022968292236328,0.0,0.7519140243530273,0.0,0.25,12
195,20,3470,9.021071434020996,9.021071434020996,2.275127092997233,1.5233712196350098,0.4166666666666667,0.4166666666666667,12
196,20,13012,8.96666431427002,-3.250809669494629,0.2381606101989746,0.5090614159901937,0.08333333333333333,0.16666666666666666,12
197,20,2843,8.928448677062988,8.09257984161377,1.7394790649414062,1.065097411473592,0.4166666666666667,0.25,12
198,20,2009,8.852099418640137,-8.852099418640137,0.0,0.7376749515533447,0.0,0.16666666666666666,12
199,20,7999,8.842629432678223,3.1111879348754883,0.8111579418182373,0.5518922805786133,0.25,0.16666666666666666,12
200,20,10064,8.835822105407715,6.653837203979492,3.0115346908569336,2.4570484161376953,0.75,0.5833333333333334,12
201,20,736,8.826391220092773,8.826391220092773,0.7355326016743978,0.0,0.25,0.0,12
202,20,11738,8.825906753540039,8.825906753540039,0.7354922294616699,0.0,0.25,0.0,12
203,20,10094,8.813493728637695,-8.813493728637695,0.0,0.734457810719808,0.0,0.25,12
204,20,13180,8.79578971862793,8.79578971862793,0.9720385869344076,0.23905611038208008,0.3333333333333333,0.08333333333333333,12
205,20,9046,8.787457466125488,8.787457466125488,3.2384557723999023,2.5061675707499185,0.5833333333333334,0.5,12
206,20,261,8.77188777923584,8.352660179138184,0.9437586466471354,0.24770363171895346,0.3333333333333333,0.08333333333333333,12
207,20,4220,8.653583526611328,-8.653583526611328,0.0,0.721131960550944,0.0,0.16666666666666666,12
208,20,9593,8.58099365234375,-8.58099365234375,0.0,0.7150828043619791,0.0,0.25,12
209,20,14225,8.535862922668457,8.535862922668457,0.9361856778462728,0.2248638073603312,0.25,0.08333333333333333,12
210,20,965,8.488248825073242,6.734286785125732,3.388817469278971,2.827626864115397,0.8333333333333334,0.75,12
211,20,16324,8.465560913085938,-8.465560913085938,0.278156042098999,0.9836194515228271,0.08333333333333333,0.25,12
212,20,13623,8.432458877563477,5.591468811035156,3.0303351084391275,2.5643790562947593,0.75,0.6666666666666666,12
213,20,12725,8.394418716430664,-8.394418716430664,0.2242288589477539,0.9237637519836426,0.08333333333333333,0.25,12
214,20,6494,8.343572616577148,-8.343572616577148,0.0,0.6952977180480957,0.0,0.16666666666666666,12
215,20,169,8.317171096801758,7.856642246246338,4.732378959655762,4.077658971150716,0.9166666666666666,0.9166666666666666,12
216,20,1732,8.276002883911133,8.276002883911133,0.6896669069925944,0.0,0.25,0.0,12
217,20,5081,8.248847007751465,-6.3092756271362305,1.8781429926554363,2.403916041056315,0.4166666666666667,0.5833333333333334,12
218,20,1515,8.241847038269043,6.3704938888549805,1.9578968683878581,1.4270222981770833,0.5833333333333334,0.4166666666666667,12
219,20,12114,8.147298812866211,8.147298812866211,1.2099970976511638,0.5310555299123129,0.3333333333333333,0.16666666666666666,12
220,20,9187,8.13487434387207,5.851360321044922,2.227985064188639,1.7403717041015625,0.6666666666666666,0.5,12
221,20,13589,8.082923889160156,7.98260498046875,1.4679206212361653,0.8027036190032959,0.4166666666666667,0.25,12
222,20,13753,8.021443367004395,8.021443367004395,0.9681253433227539,0.299671749273936,0.25,0.08333333333333333,12
