active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
19.0,0.12065197172619048,10.134765625,6859,all,0.44481803797468356,35.140625,0.6031942246835443,0.3241660662484931,13,"12,13,14,15,16,17,18,19,20",59
66.0,0.31227911086309523,26.2314453125,14352,all,0.4444471914556962,35.111328125,1.7108386075949367,0.132168080592601,13,"12,13,14,15,16,17,18,19,20",60
24.0,0.047177269345238096,3.962890625,8446,all,0.4435818829113924,35.04296875,0.7826839398734177,0.3964046135661543,13,"12,13,14,15,16,17,18,19,20",61
28.0,0.09493582589285714,7.974609375,3232,all,0.43905755537974683,34.685546875,0.8111155063291139,0.3441217294868897,13,"12,13,14,15,16,17,18,19,20",62
26.0,0.059802827380952384,5.0234375,10118,all,0.43742583069620256,34.556640625,1.0105814873417722,0.37762300331525017,13,"12,13,14,15,16,17,18,19,20",63
29.0,0.05066499255952381,4.255859375,8544,all,0.4327284414556962,34.185546875,0.25155755537974683,0.3820634488961724,13,"12,13,14,15,16,17,18,19,20",64
139.0,1.7136346726190477,143.9453125,14672,all,4.696845332278481,371.05078125,30.505933544303797,2.9832106596594334,14,"12,13,14,15,16,17,18,19,20",1
59.0,0.47530691964285715,39.92578125,3001,all,1.6503659018987342,130.37890625,2.3695114715189876,1.175058982255877,14,"12,13,14,15,16,17,18,19,20",2
23.0,0.36316499255952384,30.505859375,8681,all,1.4201443829113924,112.19140625,2.7297270569620253,1.0569793903518687,14,"12,13,14,15,16,17,18,19,20",3
30.0,0.20107886904761904,16.890625,10684,all,1.0686807753164558,84.42578125,3.5797567246835444,0.8676019062688367,14,"12,13,14,15,16,17,18,19,20",4
28.0,0.10035342261904762,8.4296875,7981,all,1.0478144778481013,82.77734375,1.030409414556962,0.9474610552290537,14,"12,13,14,15,16,17,18,19,20",5
28.0,0.09677269345238096,8.12890625,6443,all,1.0070955300632911,79.560546875,1.9869709256329113,0.9103228366109102,14,"12,13,14,15,16,17,18,19,20",6
28.0,0.17843191964285715,14.98828125,1559,all,0.9472903481012658,74.8359375,1.1523931962025316,0.7688584284584086,14,"12,13,14,15,16,17,18,19,20",7
84.0,0.23353794642857142,19.6171875,5766,all,0.8973002373417721,70.88671875,3.0224238528481013,0.6637622909132007,14,"12,13,14,15,16,17,18,19,20",8
90.0,0.5765438988095238,48.4296875,15924,all,0.8916139240506329,70.4375,1.5331289556962024,0.31507002524110905,14,"12,13,14,15,16,17,18,19,20",9
38.0,0.09656343005952381,8.111328125,3262,all,0.8586580300632911,67.833984375,1.0290990901898733,0.7620946000037673,14,"12,13,14,15,16,17,18,19,20",10
69.0,0.3005952380952381,25.25,2844,all,0.8136372626582279,64.27734375,1.6472507911392404,0.5130420245629899,14,"12,13,14,15,16,17,18,19,20",11
22.0,0.0,0.0,6168,all,0.8092365506329114,63.9296875,1.3190516218354431,0.8092365506329114,14,"12,13,14,15,16,17,18,19,20",12
43.0,0.3374720982142857,28.34765625,13206,all,0.800509295886076,63.240234375,1.0557505933544304,0.4630371976717903,14,"12,13,14,15,16,17,18,19,20",13
18.0,0.05952380952380952,5.0,11389,all,0.7945510284810127,62.76953125,0.9238528481012658,0.7350272189572031,14,"12,13,14,15,16,17,18,19,20",14
37.0,0.12579055059523808,10.56640625,15817,all,0.7508653085443038,59.318359375,1.1913320806962024,0.6250747579490656,14,"12,13,14,15,16,17,18,19,20",15
40.0,0.16143508184523808,13.560546875,1752,all,0.7464398734177216,58.96875,0.792128164556962,0.5850047915724834,14,"12,13,14,15,16,17,18,19,20",16
9.0,0.0,0.0,15530,all,0.7400613132911392,58.46484375,0.7735858386075949,0.7400613132911392,14,"12,13,14,15,16,17,18,19,20",17
43.0,0.18482607886904762,15.525390625,951,all,0.7378362341772152,58.2890625,1.2493324762658229,0.5530101553081677,14,"12,13,14,15,16,17,18,19,20",18
44.0,0.2908528645833333,24.431640625,1704,all,0.689725079113924,54.48828125,1.2162776898734178,0.3988722145305907,14,"12,13,14,15,16,17,18,19,20",19
35.0,0.14183407738095238,11.9140625,5794,all,0.681912579113924,53.87109375,0.41683148734177217,0.5400785017329717,14,"12,13,14,15,16,17,18,19,20",20
33.0,0.3166620163690476,26.599609375,7639,all,0.6783030063291139,53.5859375,0.40041534810126583,0.3616409899600663,14,"12,13,14,15,16,17,18,19,20",21
57.0,0.6311383928571429,53.015625,14040,all,0.6515773338607594,51.474609375,0.8061708860759493,0.02043894100361654,14,"12,13,14,15,16,17,18,19,20",22
54.0,0.22502790178571427,18.90234375,2673,all,0.6490308544303798,51.2734375,4.120005933544304,0.4240029526446655,14,"12,13,14,15,16,17,18,19,20",23
5.0,0.0,0.0,13469,all,0.6460888053797469,51.041015625,0.6160007911392406,0.6460888053797469,14,"12,13,14,15,16,17,18,19,20",24
67.0,0.2941080729166667,24.705078125,1817,all,0.6407980617088608,50.623046875,1.8713904272151898,0.3466899887921941,14,"12,13,14,15,16,17,18,19,20",25
30.0,0.10586402529761904,8.892578125,9589,all,0.6275217563291139,49.57421875,0.7947982594936709,0.5216577310314948,14,"12,13,14,15,16,17,18,19,20",26
40.0,0.25669642857142855,21.5625,10874,all,0.6161985759493671,48.6796875,0.9310719936708861,0.35950214737793856,14,"12,13,14,15,16,17,18,19,20",27
21.0,0.07675316220238096,6.447265625,15917,all,0.6060868275316456,47.880859375,0.6627521756329114,0.5293336653292646,14,"12,13,14,15,16,17,18,19,20",28
27.0,0.062174479166666664,5.22265625,15493,all,0.57421875,45.36328125,0.7015427215189873,0.5120442708333334,14,"12,13,14,15,16,17,18,19,20",29
10.0,0.0,0.0,4986,all,0.5663320806962026,44.740234375,0.5663320806962026,0.5663320806962026,14,"12,13,14,15,16,17,18,19,20",30
62.0,0.25272042410714285,21.228515625,558,all,0.5654173259493671,44.66796875,1.2731902689873418,0.31269690184222426,14,"12,13,14,15,16,17,18,19,20",31
24.0,0.08138020833333333,6.8359375,4258,all,0.5644284018987342,44.58984375,0.3230320411392405,0.4830481935654009,14,"12,13,14,15,16,17,18,19,20",32
33.0,0.24323381696428573,20.431640625,1691,all,0.5618571993670886,44.38671875,1.1731111550632911,0.31862338240280286,14,"12,13,14,15,16,17,18,19,20",33
12.0,0.004301525297619048,0.361328125,4906,all,0.5611896756329114,44.333984375,0.561387460443038,0.5568881503352924,14,"12,13,14,15,16,17,18,19,20",34
8.0,0.0,0.0,7773,all,0.5548852848101266,43.8359375,0.5548852848101266,0.5548852848101266,14,"12,13,14,15,16,17,18,19,20",35
28.0,0.16250465029761904,13.650390625,14398,all,0.5531793908227848,43.701171875,0.2965535996835443,0.3906747405251657,14,"12,13,14,15,16,17,18,19,20",36
17.0,0.11193266369047619,9.40234375,1760,all,0.5447982594936709,43.0390625,0.5447982594936709,0.4328655958031947,14,"12,13,14,15,16,17,18,19,20",37
33.0,0.07845052083333333,6.58984375,3491,all,0.5392850079113924,42.603515625,0.788790545886076,0.46083448707805913,14,"12,13,14,15,16,17,18,19,20",38
59.0,0.1685732886904762,14.16015625,12860,all,0.5352551424050633,42.28515625,2.201715783227848,0.36668185371458717,14,"12,13,14,15,16,17,18,19,20",39
23.0,0.07486979166666667,6.2890625,12187,all,0.5315961234177216,41.99609375,0.4998269382911392,0.45672633175105487,14,"12,13,14,15,16,17,18,19,20",40
30.0,0.3052455357142857,25.640625,6648,all,0.5313736155063291,41.978515625,0.41675731803797467,0.2261280797920434,14,"12,13,14,15,16,17,18,19,20",41
29.0,0.15508742559523808,13.02734375,5613,all,0.5299643987341772,41.8671875,0.43438488924050633,0.37487697313893914,14,"12,13,14,15,16,17,18,19,20",42
47.0,0.22846912202380953,19.19140625,6890,all,0.5214596518987342,41.1953125,1.3723793512658229,0.2929905298749247,14,"12,13,14,15,16,17,18,19,20",43
