base_module_patched_loss,layer,loss_increase,module,n_patched_tensors,original_loss,source_expert,target_model,task
0.23636889457702637,29,0.001254245638847351,attn,4,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.2385113686323166,29,0.0033967196941375732,mlp,3,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23546774685382843,29,0.00035309791564941406,norms,2,0.23511464893817902,expert_refusal,expert_refusal,refusal
0.23912790417671204,29,0.00401325523853302,block,9,0.23511464893817902,expert_refusal,expert_refusal,refusal
2.353548765182495,15,0.04376983642578125,attn,4,2.309778928756714,expert_arith,merge_all_linear,arith
0.38603368401527405,15,0.0073261559009552,attn,4,0.37870752811431885,expert_polite,merge_all_linear,polite
0.4915158152580261,15,0.004633426666259766,attn,4,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.3791747093200684,15,0.06939578056335449,mlp,3,2.309778928756714,expert_arith,merge_all_linear,arith
0.3958791196346283,15,0.017171591520309448,mlp,3,0.37870752811431885,expert_polite,merge_all_linear,polite
0.49807658791542053,15,0.011194199323654175,mlp,3,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.311832904815674,15,0.002053976058959961,norms,2,2.309778928756714,expert_arith,merge_all_linear,arith
0.3784327507019043,15,-0.0002747774124145508,norms,2,0.37870752811431885,expert_polite,merge_all_linear,polite
0.48712095618247986,15,0.00023856759071350098,norms,2,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.434813976287842,15,0.12503504753112793,block,9,2.309778928756714,expert_arith,merge_all_linear,arith
0.40627220273017883,15,0.027564674615859985,block,9,0.37870752811431885,expert_polite,merge_all_linear,polite
0.506568431854248,15,0.01968604326248169,block,9,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.344778299331665,29,0.03499937057495117,attn,4,2.309778928756714,expert_arith,merge_all_linear,arith
0.3818625211715698,29,0.0031549930572509766,attn,4,0.37870752811431885,expert_polite,merge_all_linear,polite
0.49265480041503906,29,0.005772411823272705,attn,4,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.3705692291259766,29,0.060790300369262695,mlp,3,2.309778928756714,expert_arith,merge_all_linear,arith
0.3997495174407959,29,0.02104198932647705,mlp,3,0.37870752811431885,expert_polite,merge_all_linear,polite
0.5536336898803711,29,0.06675130128860474,mlp,3,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.305393934249878,29,-0.0043849945068359375,norms,2,2.309778928756714,expert_arith,merge_all_linear,arith
0.37938350439071655,29,0.0006759762763977051,norms,2,0.37870752811431885,expert_polite,merge_all_linear,polite
0.4869421124458313,29,5.9723854064941406e-05,norms,2,0.48688238859176636,expert_refusal,merge_all_linear,refusal
2.4083099365234375,29,0.09853100776672363,block,9,2.309778928756714,expert_arith,merge_all_linear,arith
0.4044296145439148,29,0.025722086429595947,block,9,0.37870752811431885,expert_polite,merge_all_linear,polite
0.5639428496360779,29,0.07706046104431152,block,9,0.48688238859176636,expert_refusal,merge_all_linear,refusal
1.6275227069854736,15,0.0432581901550293,attn,4,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3098464608192444,15,0.0024063289165496826,attn,4,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.627764344215393,15,0.04349982738494873,mlp,3,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.31164729595184326,15,0.00420716404914856,mlp,3,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.595317006111145,15,0.011052489280700684,norms,2,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3070565164089203,15,-0.00038361549377441406,norms,2,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6849939823150635,15,0.10072946548461914,block,9,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3156590163707733,15,0.008218884468078613,block,9,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6127259731292725,29,0.028461456298828125,attn,4,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.30930545926094055,29,0.0018653273582458496,attn,4,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6447649002075195,29,0.060500383377075195,mlp,3,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.3199710547924042,29,0.012530922889709473,mlp,3,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.5827140808105469,29,-0.001550436019897461,norms,2,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.30839505791664124,29,0.0009549260139465332,norms,2,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.6786741018295288,29,0.09440958499908447,block,9,1.5842645168304443,expert_arith,merge_arith_polite,arith
0.32183873653411865,29,0.01439860463142395,block,9,0.3074401319026947,expert_polite,merge_arith_polite,polite
1.486228585243225,15,0.028457283973693848,attn,4,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.3191073536872864,15,0.003710418939590454,attn,4,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5198204517364502,15,0.062049150466918945,mlp,3,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.32335418462753296,15,0.007957249879837036,mlp,3,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4583017826080322,15,0.0005304813385009766,norms,2,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.31581956148147583,15,0.0004226267337799072,norms,2,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5645521879196167,15,0.10678088665008545,block,9,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.3285236954689026,15,0.013126760721206665,block,9,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4812605381011963,29,0.02348923683166504,attn,4,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.31906646490097046,29,0.003669530153274536,attn,4,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4820352792739868,29,0.024263978004455566,mlp,3,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.35439378023147583,29,0.03899684548377991,mlp,3,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.4568073749542236,29,-0.0009639263153076172,norms,2,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.31642860174179077,29,0.0010316669940948486,norms,2,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
1.5093343257904053,29,0.05156302452087402,block,9,1.4577713012695312,expert_arith,merge_arith_refusal,arith
0.36165571212768555,29,0.046258777379989624,block,9,0.3153969347476959,expert_refusal,merge_arith_refusal,refusal
0.2998696565628052,15,0.0028819739818573,attn,4,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3261106610298157,15,-0.00010287761688232422,attn,4,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.3048252761363983,15,0.00783759355545044,mlp,3,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.32457882165908813,15,-0.0016347169876098633,mlp,3,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.2969498634338379,15,-3.781914710998535e-05,norms,2,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3257348835468292,15,-0.0004786550998687744,norms,2,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.30840736627578735,15,0.011419683694839478,block,9,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3244742751121521,15,-0.0017392635345458984,block,9,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.298169881105423,29,0.0011821985244750977,attn,4,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.3259209990501404,29,-0.0002925395965576172,attn,4,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.30503177642822266,29,0.00804409384727478,mlp,3,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.34198909997940063,29,0.015775561332702637,mlp,3,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.29702699184417725,29,3.930926322937012e-05,norms,2,0.2969876825809479,expert_polite,merge_polite_refusal,polite
0.32672178745269775,29,0.0005082488059997559,norms,2,0.326213538646698,expert_refusal,merge_polite_refusal,refusal
0.3071722090244293,29,0.010184526443481445,block,9,0.2969876825809479,expert_polite,merge_polite_refusal,polite
