abs_sum,coord,group,layer,mask,rank,sq_sum
8.403118396177888,1220,benign_account_recovery,17,all,14,1.8292292188682655
8.376390133053064,162,benign_account_recovery,17,all,15,1.7787946986949064
8.261076033115387,1124,benign_account_recovery,17,all,16,1.9110812122090464
8.24157601967454,925,benign_account_recovery,17,all,17,1.798175383657643
8.159147951751947,774,benign_account_recovery,17,all,18,2.2941181319006883
8.123546373099089,67,benign_account_recovery,17,all,19,2.220471253863931
8.111519694328308,602,benign_account_recovery,17,all,20,1.7113203200463138
4.445855341851711,287,benign_account_recovery,17,target,1,1.9716237368492764
4.30720953270793,1,benign_account_recovery,17,target,2,2.4035028365583946
4.19698266685009,1317,benign_account_recovery,17,target,3,1.7041796079379863
4.191037803888321,232,benign_account_recovery,17,target,4,1.5940392148278284
4.160532251000404,1193,benign_account_recovery,17,target,5,1.6679807768368013
4.131320513784885,1179,benign_account_recovery,17,target,6,1.5838398099725446
4.007068686187267,403,benign_account_recovery,17,target,7,1.7252313016969083
4.004388317465782,876,benign_account_recovery,17,target,8,1.6185005697334132
3.9630222842097282,1479,benign_account_recovery,17,target,9,1.9192049390496024
3.9532858580350876,912,benign_account_recovery,17,target,10,1.857829195188809
3.932634722441435,1188,benign_account_recovery,17,target,11,1.9280963860385065
3.9315615855157375,716,benign_account_recovery,17,target,12,1.4445171210065486
3.9249379336833954,1046,benign_account_recovery,17,target,13,1.661455716484857
3.894850932061672,520,benign_account_recovery,17,target,14,1.4269360938599416
3.8424760811030865,417,benign_account_recovery,17,target,15,1.53950203058426
3.7893648743629456,67,benign_account_recovery,17,target,16,1.4387224198163353
3.7688258066773415,1411,benign_account_recovery,17,target,17,1.5260302670843944
3.739442277699709,267,benign_account_recovery,17,target,18,1.6279676027394092
3.73816879093647,1210,benign_account_recovery,17,target,19,1.5269660896515556
3.7288309931755066,459,benign_account_recovery,17,target,20,1.5803629679669098
15.760218292474747,1421,benign_account_recovery,18,all,1,5.866895426799438
13.652878940105438,735,benign_account_recovery,18,all,2,4.508060459136166
12.530740972608328,541,benign_account_recovery,18,all,3,4.754535627340381
11.998636754229665,1158,benign_account_recovery,18,all,4,4.115970477047813
11.512040589004755,994,benign_account_recovery,18,all,5,3.2876186385468307
11.02042954415083,749,benign_account_recovery,18,all,6,3.2873363696670292
10.923355905339122,1016,benign_account_recovery,18,all,7,3.545403340319614
10.66542175412178,439,benign_account_recovery,18,all,8,3.0485789103961487
10.652044685557485,79,benign_account_recovery,18,all,9,4.147332374242451
10.619321037083864,1283,benign_account_recovery,18,all,10,3.0354670983834025
10.607881370931864,1162,benign_account_recovery,18,all,11,2.7099938832580084
10.538760721683502,1065,benign_account_recovery,18,all,12,2.7134660770563617
10.51488696411252,894,benign_account_recovery,18,all,13,2.9099792450578574
10.358593411743641,1200,benign_account_recovery,18,all,14,3.7614783890525696
10.355289038270712,304,benign_account_recovery,18,all,15,3.3934376740143417
10.24840141274035,700,benign_account_recovery,18,all,16,3.0157694837629965
10.141661688685417,823,benign_account_recovery,18,all,17,2.5319745367643387
10.004764780402184,1152,benign_account_recovery,18,all,18,3.2811015500278087
9.989891108125448,771,benign_account_recovery,18,all,19,3.4945278578248153
9.983179768081754,206,benign_account_recovery,18,all,20,2.895965947017092
5.723994433879852,79,benign_account_recovery,18,target,1,3.3223357114639676
5.273563504219055,1158,benign_account_recovery,18,target,2,2.838162288552258
5.085282325744629,1478,benign_account_recovery,18,target,3,2.49175004334848
5.0560342743992805,977,benign_account_recovery,18,target,4,3.117078298172734
5.040883153676987,541,benign_account_recovery,18,target,5,2.9652472511964723
5.039056532084942,658,benign_account_recovery,18,target,6,2.883487709025789
4.852663174271584,923,benign_account_recovery,18,target,7,2.6859830764546206
4.736806288361549,288,benign_account_recovery,18,target,8,2.3178334591529115
4.7337924391031265,349,benign_account_recovery,18,target,9,2.204720835301128
4.682817116379738,241,benign_account_recovery,18,target,10,2.425166369852393
4.647737622261047,105,benign_account_recovery,18,target,11,2.496896474489999
4.625527113676071,1200,benign_account_recovery,18,target,12,2.5197268298450526
4.461768716573715,874,benign_account_recovery,18,target,13,2.1746078703556
4.455885291099548,609,benign_account_recovery,18,target,14,1.9402694890117758
4.452986419200897,1085,benign_account_recovery,18,target,15,2.301201453013385
4.432834163308144,941,benign_account_recovery,18,target,16,2.1582073314371053
4.353427395224571,1359,benign_account_recovery,18,target,17,2.025538631726481
4.347683422267437,1209,benign_account_recovery,18,target,18,2.1341805244080327
4.3063822239637375,1421,benign_account_recovery,18,target,19,1.9315881457812536
4.303055673837662,240,benign_account_recovery,18,target,20,2.1176564823060358
15.763485670089722,1421,benign_account_recovery,19,all,1,7.723446117342597
15.697451330721378,1200,benign_account_recovery,19,all,2,7.384832783734376
14.099164795130491,1481,benign_account_recovery,19,all,3,6.263420402592593
13.174176555126905,784,benign_account_recovery,19,all,4,4.606244434354616
12.767287496477365,306,benign_account_recovery,19,all,5,6.725468125695492
12.4378596059978,311,benign_account_recovery,19,all,6,4.175238916856781
12.03300254419446,1359,benign_account_recovery,19,all,7,4.004653255639412
11.883853245526552,83,benign_account_recovery,19,all,8,4.924975878467597
11.87869793921709,315,benign_account_recovery,19,all,9,3.2915815665897465
11.815919616259634,585,benign_account_recovery,19,all,10,3.9199717980785955
11.809563595801592,1295,benign_account_recovery,19,all,11,5.453073523778471
11.669047147035599,1048,benign_account_recovery,19,all,12,3.607457894495033
11.569170571863651,1207,benign_account_recovery,19,all,13,3.623456514491205
11.560735318809748,616,benign_account_recovery,19,all,14,4.523040496142514
11.304804746061563,571,benign_account_recovery,19,all,15,3.4585201659283387
11.282324505969882,529,benign_account_recovery,19,all,16,4.580326510415539
11.182401860132813,1344,benign_account_recovery,19,all,17,4.1881245067034065
11.112656444311142,1472,benign_account_recovery,19,all,18,4.619052293024169
11.088844623416662,1202,benign_account_recovery,19,all,19,3.133195725568113
