a_energy_in_b_top1024,a_energy_in_b_top256,a_energy_in_b_top512,a_energy_in_b_top64,b_energy_in_a_top1024,b_energy_in_a_top256,b_energy_in_a_top512,b_energy_in_a_top64,group_a,group_b,layer,mask,mean_residual_cosine,top1024_jaccard,top256_jaccard,top512_jaccard,top64_jaccard
0.7477390813130559,0.24067645789650444,0.42968920008773187,0.06978579367758621,0.7569758557754046,0.23374806008697507,0.42781539098707244,0.0686565448391872,benign_account_recovery,benign_remove_tracking,16,target,0.695248007774353,0.6318725099601593,0.24574209245742093,0.3763440860215054,0.14285714285714285
0.7062940176411632,0.1884463884816741,0.3587353977914615,0.046376797978791455,0.7053738554644515,0.1816962651339098,0.3587315308634712,0.044373282054691474,benign_account_recovery,one_time_code,16,target,0.35453465580940247,0.5657492354740061,0.11790393013100436,0.2278177458033573,0.007874015748031496
0.7230145856501794,0.20244979527028434,0.3785967719850771,0.051658427166374775,0.7274113959528298,0.19372643952906643,0.3851118140019012,0.05084216189514319,benign_account_recovery,permission_slip,16,target,0.44272318482398987,0.5826893353941267,0.15575620767494355,0.2784019975031211,0.04918032786885246
0.7414311537317286,0.2244859295682511,0.41108988580000594,0.06496517178559068,0.746112298395265,0.21654429873947673,0.41241875169937336,0.0608818829706323,benign_account_recovery,tracking_original,16,target,0.6038084030151367,0.6164167324388319,0.2132701421800948,0.3350717079530639,0.09401709401709402
0.7061622672204524,0.18130377296087982,0.3534134847006883,0.04430732218796378,0.7085171597478863,0.17685550438694042,0.35680990234231547,0.04084936278807487,benign_remove_tracking,one_time_code,16,target,0.3356834352016449,0.566947207345065,0.11546840958605664,0.2278177458033573,0.015873015873015872
0.7210452847238724,0.2018117443198387,0.3749343390028048,0.06106909692830535,0.729583623381053,0.20201488399795672,0.3901954202546922,0.05472529870209013,benign_remove_tracking,permission_slip,16,target,0.5137314200401306,0.5937743190661479,0.1583710407239819,0.2816020025031289,0.13274336283185842
0.7922237820096939,0.2779520877757082,0.4713546215815221,0.08152170697378767,0.7955253088288979,0.2720368321397604,0.47631582385672133,0.08093949215888768,benign_remove_tracking,tracking_original,16,target,0.8583536744117737,0.7152428810720268,0.43820224719101125,0.49053857350800584,0.28
0.7166046966826736,0.19430824160815036,0.38029652195835517,0.05227809514960052,0.7104591872191687,0.19458040223490725,0.37109737833978756,0.05396572634631246,one_time_code,permission_slip,16,target,0.3894794285297394,0.5729646697388633,0.13024282560706402,0.2503052503052503,0.03225806451612903
0.7076114920925156,0.1794006344656138,0.3560086799438341,0.042230607926491845,0.709721576706552,0.17808876834599718,0.35208968978382144,0.04337472193830081,one_time_code,tracking_original,16,target,0.36900514364242554,0.5839133797370456,0.10583153347732181,0.22195704057279236,0.015873015873015872
0.7399526217131384,0.21434066482795183,0.3986903692443914,0.06504182247798947,0.736963357623966,0.21111238518065326,0.39342617237905964,0.06390233689406502,permission_slip,tracking_original,16,target,0.5872399806976318,0.6025039123630673,0.17972350230414746,0.30445859872611464,0.1743119266055046
