condition,max_i_minus_it,mean_i_minus_it,min_i_minus_it,n,split,top_i_rate,top_it_rate
bundle_patch_random_seed240524_top33_k14_041,-3.9453125,-3.9453125,-3.9453125,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_041,-0.515625,-0.515625,-0.515625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_042,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_042,-0.609375,-0.609375,-0.609375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_043,-3.984375,-3.984375,-3.984375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_043,-0.53125,-0.53125,-0.53125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_044,-3.9765625,-3.9765625,-3.9765625,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_044,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_045,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_045,-0.5,-0.5,-0.5,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_046,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_046,-0.125,-0.125,-0.125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_047,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_047,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_048,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_048,-0.578125,-0.578125,-0.578125,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_049,-3.9609375,-3.9609375,-3.9609375,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_049,-0.5625,-0.5625,-0.5625,1,harmful,0.0,1.0
bundle_patch_random_seed240524_top33_k14_050,-3.96875,-3.96875,-3.96875,1,benign,0.0,0.0
bundle_patch_random_seed240524_top33_k14_050,-0.09375,-0.09375,-0.09375,1,harmful,0.0,1.0
