condition,eval_slice,eval_start,k,layer,layer_group,layers,random_seed,score_sum,selected_features,selector,variant
random,4:8,4,2048,17,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,mid_late,"15,16,17,18,19,20",1,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,1024,15,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,16,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,17,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,18,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,19,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,1024,20,mid_late,"15,16,17,18,19,20",2,,1024,random_active,mix_decode_random_active_k1024
random,4:8,4,2048,15,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,16,mid_late,"15,16,17,18,19,20",2,,1893,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,17,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,18,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,19,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
random,4:8,4,2048,20,mid_late,"15,16,17,18,19,20",2,,2048,random_active,mix_decode_random_active_k2048
deterministic,8:12,8,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,full_decode
deterministic,8:12,8,all,12,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,13,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,14,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,15,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,16,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,17,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,18,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,19,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,all,20,all,"12,13,14,15,16,17,18,19,20",,,all,all,delta_add_all
deterministic,8:12,8,1024,12,all,"12,13,14,15,16,17,18,19,20",,2736.9384765625,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,13,all,"12,13,14,15,16,17,18,19,20",,3083.32421875,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,14,all,"12,13,14,15,16,17,18,19,20",,2846.755859375,1024,delta_abs,mix_decode_delta_abs_k1024
deterministic,8:12,8,1024,15,all,"12,13,14,15,16,17,18,19,20",,2386.951171875,1024,delta_abs,mix_decode_delta_abs_k1024
