layer,model_a,model_b,n,row_cosine,split
20,sjt,amadeus_ptbr,8,0.9536386728286743,harmful
20,sjt,amadeus_ptbr,8,0.9600456357002258,benign
20,sjt,amadeus_ptbr,8,0.6303510069847107,arith
20,sjt,amadeus_ptbr,8,0.8545954823493958,polite
23,sjt,amadeus_ptbr,8,0.9585407376289368,harmful
23,sjt,amadeus_ptbr,8,0.9664561748504639,benign
23,sjt,amadeus_ptbr,8,0.6867741346359253,arith
23,sjt,amadeus_ptbr,8,0.7877939939498901,polite
0,ko_merge,amadeus_ptbr,8,0.9829528331756592,harmful
0,ko_merge,amadeus_ptbr,8,0.9827792644500732,benign
0,ko_merge,amadeus_ptbr,8,0.9834427237510681,arith
0,ko_merge,amadeus_ptbr,8,0.9831461906433105,polite
4,ko_merge,amadeus_ptbr,8,0.8155396580696106,harmful
4,ko_merge,amadeus_ptbr,8,0.8131725192070007,benign
4,ko_merge,amadeus_ptbr,8,0.8027576208114624,arith
4,ko_merge,amadeus_ptbr,8,0.8287014365196228,polite
8,ko_merge,amadeus_ptbr,8,0.7881211042404175,harmful
8,ko_merge,amadeus_ptbr,8,0.8027374744415283,benign
8,ko_merge,amadeus_ptbr,8,0.7895978689193726,arith
8,ko_merge,amadeus_ptbr,8,0.816041886806488,polite
12,ko_merge,amadeus_ptbr,8,0.8834574818611145,harmful
12,ko_merge,amadeus_ptbr,8,0.8848337531089783,benign
12,ko_merge,amadeus_ptbr,8,0.8454727530479431,arith
12,ko_merge,amadeus_ptbr,8,0.8624156713485718,polite
16,ko_merge,amadeus_ptbr,8,0.8996310234069824,harmful
16,ko_merge,amadeus_ptbr,8,0.9109944105148315,benign
16,ko_merge,amadeus_ptbr,8,0.6782869100570679,arith
16,ko_merge,amadeus_ptbr,8,0.8639563322067261,polite
20,ko_merge,amadeus_ptbr,8,0.9279860258102417,harmful
20,ko_merge,amadeus_ptbr,8,0.9336441159248352,benign
20,ko_merge,amadeus_ptbr,8,0.6156214475631714,arith
20,ko_merge,amadeus_ptbr,8,0.8723670840263367,polite
23,ko_merge,amadeus_ptbr,8,0.9010841846466064,harmful
23,ko_merge,amadeus_ptbr,8,0.9387050271034241,benign
23,ko_merge,amadeus_ptbr,8,0.6693369746208191,arith
23,ko_merge,amadeus_ptbr,8,0.8332496881484985,polite
