rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
19,20,14520,228.13912963867188,228.13912963867188,52.21873474121094,2.828125,0.3263671875,0.30869140625,0.01875,160
20,20,1278,220.7843475341797,220.7843475341797,116.09194946289062,8.78125,0.7255859375,0.67392578125,0.075,160
21,20,2462,217.05828857421875,217.05828857421875,301.1216125488281,15.5625,1.88203125,1.8150390625,0.3375,160
22,20,11545,211.234619140625,211.234619140625,522.5487670898438,19.5,3.26591796875,3.32646484375,0.29375,160
23,20,10952,210.9969024658203,210.9969024658203,169.5321044921875,16.46875,1.0595703125,1.0125,0.1,160
24,20,10370,206.79934692382812,206.79934692382812,163.246826171875,18.015625,1.0202880859375,0.9076904296875,0.1125,160
25,20,9149,199.72164916992188,199.72164916992188,116.72567749023438,1.5078125,0.729541015625,0.73037109375,0.05,160
26,20,7366,198.88006591796875,198.88006591796875,124.72706604003906,1.8359375,0.779541015625,0.7681640625,0.03125,160
27,20,10402,184.908935546875,184.908935546875,235.90977478027344,4.63671875,1.474462890625,1.4687255859375,0.14375,160
28,20,12943,168.99447631835938,168.99447631835938,42.89885330200195,0.671875,0.268115234375,0.264892578125,0.01875,160
29,20,1759,168.41604614257812,168.41604614257812,190.13992309570312,11.2421875,1.18837890625,1.15478515625,0.1125,160
30,20,1247,165.788330078125,165.788330078125,199.00897216796875,3.609375,1.243798828125,1.224560546875,0.11875,160
31,20,12623,156.3444061279297,156.3444061279297,149.2738800048828,9.8359375,0.932958984375,0.972265625,0.10625,160
32,20,1871,152.63006591796875,152.63006591796875,158.1582794189453,3.21875,0.9884765625,0.9890625,0.03125,160
