n,pearson,predictor,spearman,target
15,-0.6892646440390197,sign_agree_l29,-0.8709733365201746,target_loss
12,-0.8359930000946031,weight_cos_l10,-0.8671328671328673,target_loss
12,-0.8295352025880498,weight_cos_l29,-0.8671328671328673,target_loss
15,-0.878440455194242,act_rowcos_l5,-0.8142857142857142,target_loss
15,-0.7035656753607537,act_rowcos_l15,-0.7749999999999999,target_loss
15,-0.6820335505108056,act_rowcos_l10,-0.7214285714285712,target_loss
15,-0.542573003604185,act_rowcos_l20,-0.6285714285714286,target_loss
15,-0.3302095659785549,act_rowcos_l25,-0.47142857142857136,target_loss
15,-0.1635399970798235,act_rowcos_l29,-0.2964285714285714,target_loss
15,0.22858093670737345,act_rowcos_logits,0.17857142857142855,target_loss
