rank,layer,feature_id,positive_alignment,signed_alignment,contribution_norm,feature_delta_abs,donor_mean,recipient_mean,active_fraction,token_count
1628,20,9404,5.051298141479492,5.051298141479492,3.0273351669311523,2.77734375,0.0189208984375,0.036279296875,0.00625,160
1629,20,2022,5.033409118652344,5.033409118652344,2.8515846729278564,0.1015625,0.017822265625,0.0171875,0.00625,160
1630,20,13416,5.031373023986816,5.031373023986816,12.972747802734375,0.46875,0.0810791015625,0.0797119140625,0.025,160
1631,20,4329,5.025730609893799,5.025730609893799,3.0234382152557373,5.859375,0.018896484375,0.055517578125,0.00625,160
1632,20,698,5.023406028747559,5.023406028747559,3.3319950103759766,0.0390625,0.0208251953125,0.0210693359375,0.00625,160
1633,20,12846,5.018771648406982,5.018771648406982,20.84358787536621,4.53125,0.1302734375,0.101953125,0.025,160
1634,20,11697,5.014774799346924,5.014774799346924,4.207035541534424,0.5703125,0.0262939453125,0.0298583984375,0.00625,160
1635,20,10692,4.991126537322998,4.991126537322998,2.6991944313049316,2.69921875,0.0168701171875,0.0,0.00625,160
1636,20,2860,4.984813213348389,4.984813213348389,2.839827537536621,0.046875,0.0177490234375,0.0174560546875,0.00625,160
1637,20,14396,4.98434591293335,4.98434591293335,2.6835811138153076,2.68359375,0.0167724609375,0.0,0.00625,160
1638,20,6699,4.982336044311523,4.982336044311523,9.937530517578125,0.09375,0.062109375,0.0626953125,0.0125,160
1639,20,12640,4.9815144538879395,4.9815144538879395,9.953031539916992,0.2890625,0.06220703125,0.062841796875,0.0125,160
1640,20,8238,4.9744062423706055,4.9744062423706055,19.546634674072266,0.3125,0.12216796875,0.12197265625,0.025,160
1641,20,7284,4.973987579345703,4.973987579345703,93.90113830566406,4.88671875,0.5868896484375,0.60068359375,0.125,160
1642,20,13200,4.97396183013916,4.97396183013916,3.4374823570251465,0.09375,0.021484375,0.0220703125,0.00625,160
1643,20,4372,4.972040176391602,4.972040176391602,2.949263334274292,0.28125,0.0184326171875,0.0201904296875,0.00625,160
1644,20,16134,4.969193458557129,4.969193458557129,6.92970085144043,3.12109375,0.043310546875,0.0608642578125,0.0125,160
1645,20,12015,4.968079566955566,4.968079566955566,6.570316314697266,0.1796875,0.041064453125,0.0421875,0.0125,160
1646,20,9966,4.961092948913574,4.961092948913574,8.992264747619629,2.78125,0.056201171875,0.073388671875,0.0125,160
1647,20,5332,4.958264350891113,4.958264350891113,3.460927724838257,0.0078125,0.021630859375,0.0216796875,0.00625,160
1648,20,13160,4.957098484039307,4.957098484039307,3.1992125511169434,0.0625,0.0199951171875,0.0203857421875,0.00625,160
1649,20,6309,4.951267719268799,4.951267719268799,3.3183727264404297,0.03125,0.02073974609375,0.02054443359375,0.00625,160
1650,20,5471,4.947965145111084,4.947965145111084,17.39850425720215,3.31640625,0.108740234375,0.0910400390625,0.025,160
1651,20,1330,4.947247505187988,4.947247505187988,4.335951328277588,2.7421875,0.027099609375,0.04423828125,0.00625,160
1652,20,10639,4.9437761306762695,4.9437761306762695,3.453136920928955,0.03125,0.02158203125,0.02177734375,0.00625,160
1653,20,14122,4.93976354598999,4.93976354598999,6.945268630981445,0.2578125,0.043408203125,0.04296875,0.0125,160
1654,20,2772,4.935895919799805,4.935895919799805,12.023490905761719,2.9296875,0.075146484375,0.09228515625,0.01875,160
1655,20,9645,4.9334564208984375,4.9334564208984375,2.867140293121338,0.00390625,0.017919921875,0.0179443359375,0.00625,160
1656,20,1495,4.929907321929932,4.929907321929932,17.117050170898438,2.9765625,0.106982421875,0.090234375,0.025,160
1657,20,10301,4.929678916931152,4.929678916931152,4.7422003746032715,2.8125,0.029638671875,0.047216796875,0.00625,160
1658,20,2490,4.913677215576172,4.913677215576172,3.5331501960754395,0.04296875,0.02208251953125,0.02235107421875,0.00625,160
1659,20,2117,4.908385753631592,4.908385753631592,5.2577948570251465,0.0078125,0.032861328125,0.03291015625,0.00625,160
1660,20,6435,4.895999431610107,4.895999431610107,3.283193349838257,0.12890625,0.02052001953125,0.01971435546875,0.00625,160
1661,20,852,4.894585609436035,4.894585609436035,2.773425817489624,2.7734375,0.017333984375,0.0,0.00625,160
1662,20,15987,4.892858505249023,4.892858505249023,2.820300340652466,0.171875,0.017626953125,0.016552734375,0.00625,160
1663,20,12145,4.883543014526367,4.883543014526367,2.839794874191284,2.83984375,0.0177490234375,0.0,0.00625,160
1664,20,12198,4.880054473876953,4.880054473876953,4.082040309906006,0.015625,0.0255126953125,0.0256103515625,0.00625,160
1665,20,15074,4.878006935119629,4.878006935119629,4.535151481628418,0.1953125,0.0283447265625,0.0295654296875,0.00625,160
1666,20,8887,4.868014812469482,4.868014812469482,6.39840030670166,2.87890625,0.039990234375,0.0219970703125,0.0125,160
1667,20,9513,4.867633819580078,4.867633819580078,58.76604461669922,15.09765625,0.36728515625,0.2759033203125,0.1125,160
1668,20,10736,4.865841865539551,4.865841865539551,6.765620708465576,0.2421875,0.04228515625,0.040771484375,0.0125,160
1669,20,2110,4.864564418792725,4.864564418792725,6.085962295532227,0.078125,0.038037109375,0.037939453125,0.0125,160
1670,20,1124,4.852628231048584,4.852628231048584,2.9141101837158203,0.03125,0.018212890625,0.018408203125,0.00625,160
1671,20,12574,4.850605487823486,4.850605487823486,3.1015777587890625,0.0625,0.019384765625,0.019775390625,0.00625,160
1672,20,12105,4.841312408447266,4.841312408447266,13.64076042175293,0.171875,0.08525390625,0.0845703125,0.025,160
1673,20,14410,4.840052127838135,4.840052127838135,6.0781569480896,0.109375,0.03798828125,0.0373046875,0.0125,160
1674,20,14854,4.83935546875,4.83935546875,5.976556301116943,0.0390625,0.037353515625,0.037109375,0.0125,160
1675,20,7537,4.836973667144775,4.836973667144775,2.757830858230591,0.11328125,0.017236328125,0.0179443359375,0.00625,160
1676,20,1201,4.831185340881348,4.831185340881348,5.996121406555176,0.0390625,0.0374755859375,0.0376220703125,0.0125,160
