n,pearson,predictor,spearman,target
12,-0.8667834545852139,weight_cos_l0,-0.9440559440559443,target_loss
15,-0.6957538321487221,sign_agree_l5,-0.94265838479344,target_loss
15,-0.7014777723600265,sign_agree_all,-0.9247371227251237,target_loss
15,-0.665650058986739,sign_agree_l0,-0.9247371227251237,target_loss
12,-0.8342219803082352,weight_cos_l20,-0.9160839160839163,target_loss
15,-0.6943542513096069,sign_agree_l20,-0.9104001130704705,target_loss
15,-0.7028339702227309,sign_agree_l10,-0.9068158606568072,target_loss
12,-0.8477352772333239,weight_cos_l15,-0.9020979020979022,target_loss
15,-0.7043314504537024,sign_agree_l15,-0.8996473558294806,target_loss
12,-0.8301032342863,weight_cos_all,-0.8881118881118882,target_loss
12,-0.8294010684450196,weight_cos_l5,-0.8881118881118882,target_loss
15,-0.6982401960372406,sign_agree_l25,-0.8853103461748276,target_loss
15,-0.8066409348648403,act_rowcos_l0,-0.8821428571428571,target_loss
12,-0.7812580285460626,weight_cos_l25,-0.8741258741258742,target_loss
15,-0.6819471728989084,sign_agree_l29,-0.8709733365201746,target_loss
12,-0.8257766826300901,weight_cos_l10,-0.8671328671328673,target_loss
12,-0.8180660873357528,weight_cos_l29,-0.8671328671328673,target_loss
15,-0.8754237356620379,act_rowcos_l5,-0.8142857142857142,target_loss
15,-0.7164197773172654,act_rowcos_l15,-0.7499999999999999,target_loss
15,-0.6822137560577782,act_rowcos_l10,-0.7214285714285712,target_loss
15,-0.6080799369718183,act_rowcos_l20,-0.6392857142857141,target_loss
15,-0.3580918558343618,act_rowcos_l25,-0.5214285714285714,target_loss
15,-0.17369801724745593,act_rowcos_l29,-0.2964285714285714,target_loss
15,0.20660092646142547,act_rowcos_logits,0.13928571428571426,target_loss
