source_bundle,pool_bundle,variant,drop_index,dropped_layer,dropped_feature_id,add_index,added_layer,added_feature_id,source_feature_count,pool_extra_count,selected_features,features
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f12002,2,20,14991,11,20,12002,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12002,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f9001,2,20,14991,12,20,9001,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9001,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f9024,2,20,14991,13,20,9024,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9024,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f4326,2,20,14991,14,20,4326,12,21,12,"20:1338,20:4326,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f11545,2,20,14991,15,20,11545,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:11545,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f7531,2,20,14991,16,20,7531,12,21,12,"20:1338,20:4339,20:6289,20:7531,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f5990,2,20,14991,17,20,5990,12,21,12,"20:1338,20:4339,20:5990,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f321,2,20,14991,18,20,321,12,21,12,"20:321,20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f12313,2,20,14991,19,20,12313,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12313,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f1813,2,20,14991,20,20,1813,12,21,12,"20:1338,20:1813,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f14991_add_f1100,2,20,14991,21,20,1100,12,21,12,"20:1100,20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12704,20:13622,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f12963,3,20,12704,1,20,12963,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:12963,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f13060,3,20,12704,2,20,13060,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13060,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f6169,3,20,12704,3,20,6169,12,21,12,"20:1338,20:4339,20:6169,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f13882,3,20,12704,4,20,13882,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:13882,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f9407,3,20,12704,5,20,9407,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:9407,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f5355,3,20,12704,6,20,5355,12,21,12,"20:1338,20:4339,20:5355,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f3850,3,20,12704,7,20,3850,12,21,12,"20:1338,20:3850,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f13854,3,20,12704,8,20,13854,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:13854,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f7965,3,20,12704,9,20,7965,12,21,12,"20:1338,20:4339,20:6289,20:7965,20:8754,20:8775,20:9135,20:9149,20:12652,20:13622,20:14991,20:15169"
critical12_p10_p22_drop_rank002_rank020,prompt_delta_top33,swap1_critical12_p10_p22_drop_rank002_rank020_drop_f12704_add_f11414,3,20,12704,10,20,11414,12,21,12,"20:1338,20:4339,20:6289,20:8754,20:8775,20:9135,20:9149,20:11414,20:12652,20:13622,20:14991,20:15169"
