basis_kind,effective_rank,explained_fraction,explained_sq,layer,n_rows,rank,residual_total_sq
raw_pca,8,0.39875293520794924,2717.199462890625,18,164,8,6814.2431640625
raw_pca,16,0.5584907674856706,3805.69189453125,18,164,16,6814.2431640625
raw_pca,32,0.7575365248427689,5162.0380859375,18,164,32,6814.2431640625
raw_pca,64,0.9390591713559532,6398.9775390625,18,164,64,6814.2431640625
centered_pca,1,0.08258347712848522,792.9525146484375,19,164,1,9601.830078125
centered_pca,2,0.13659230814763706,1311.5361328125,19,164,2,9601.830078125
centered_pca,4,0.2285319499843068,2194.324951171875,19,164,4,9601.830078125
centered_pca,8,0.34737246439633396,3335.411376953125,19,164,8,9601.830078125
centered_pca,16,0.5161871506021903,4956.34130859375,19,164,16,9601.830078125
centered_pca,32,0.733567178864218,7043.58740234375,19,164,32,9601.830078125
centered_pca,64,0.9357709111849405,8985.11328125,19,164,64,9601.830078125
raw_pca,1,0.10049500679571641,1054.510986328125,19,164,1,10493.16796875
raw_pca,2,0.1688413168575833,1771.6802978515625,19,164,2,10493.16796875
raw_pca,4,0.2607347796240932,2735.933837890625,19,164,4,10493.16796875
raw_pca,8,0.38253224475300335,4013.97509765625,19,164,8,10493.16796875
raw_pca,16,0.5438939808677595,5707.1708984375,19,164,16,10493.16796875
raw_pca,32,0.7487813406118787,7857.08837890625,19,164,32,10493.16796875
raw_pca,64,0.9388469283026791,9851.478515625,19,164,64,10493.16796875
centered_pca,1,0.07682278813646573,918.8613891601562,20,164,1,11960.7919921875
centered_pca,2,0.1341929596465535,1605.0540771484375,20,164,2,11960.7919921875
centered_pca,4,0.21197334944718058,2535.369140625,20,164,4,11960.7919921875
centered_pca,8,0.33422287713983456,3997.5703125,20,164,8,11960.7919921875
centered_pca,16,0.5092762395623526,6091.34716796875,20,164,16,11960.7919921875
centered_pca,32,0.7376693266435067,8823.109375,20,164,32,11960.7919921875
centered_pca,64,0.9362564910366725,11198.369140625,20,164,64,11960.7919921875
raw_pca,1,0.13490258198007876,1849.8653564453125,20,164,1,13712.6015625
raw_pca,2,0.20080303287977014,2753.531982421875,20,164,2,13712.6015625
raw_pca,4,0.28681283980918554,3932.9501953125,20,164,4,13712.6015625
raw_pca,8,0.3996257861581472,5479.9091796875,20,164,8,13712.6015625
raw_pca,16,0.5607238266808644,7688.982421875,20,164,16,13712.6015625
raw_pca,32,0.7649251116531156,10489.11328125,20,164,32,13712.6015625
raw_pca,64,0.9420566763122197,12918.0478515625,20,164,64,13712.6015625
centered_pca,1,0.07499610510192306,1396.172607421875,21,164,1,18616.6015625
centered_pca,2,0.12530508723522563,2332.7548828125,21,164,2,18616.6015625
centered_pca,4,0.20191003441149008,3758.878662109375,21,164,4,18616.6015625
centered_pca,8,0.32522377959860255,6054.5615234375,21,164,8,18616.6015625
centered_pca,16,0.500852890879906,9324.1787109375,21,164,16,18616.6015625
centered_pca,32,0.7286433165122695,13564.8623046875,21,164,32,18616.6015625
centered_pca,64,0.9340409370836262,17388.66796875,21,164,64,18616.6015625
raw_pca,1,0.14812940984848574,3200.823974609375,21,164,1,21608.294921875
raw_pca,2,0.20987936671093557,4535.13525390625,21,164,2,21608.294921875
raw_pca,4,0.28812905236496367,6225.9775390625,21,164,4,21608.294921875
raw_pca,8,0.3999215615169486,8641.623046875,21,164,8,21608.294921875
raw_pca,16,0.5588148973823439,12075.037109375,21,164,16,21608.294921875
raw_pca,32,0.7605818512078559,16434.876953125,21,164,32,21608.294921875
raw_pca,64,0.9415593530660019,20345.4921875,21,164,64,21608.294921875
centered_pca,1,0.07899226233685652,1823.1083984375,22,164,1,23079.58203125
centered_pca,2,0.13629842555640953,3145.710693359375,22,164,2,23079.58203125
centered_pca,4,0.2147241719505522,4955.744140625,22,164,4,23079.58203125
centered_pca,8,0.3327228578832108,7679.1044921875,22,164,8,23079.58203125
centered_pca,16,0.5085326789625503,11736.7216796875,22,164,16,23079.58203125
centered_pca,32,0.7324480021826651,16904.59375,22,164,32,23079.58203125
centered_pca,64,0.936904626705186,21623.3671875,22,164,64,23079.58203125
raw_pca,1,0.09179901488533757,2277.9638671875,22,164,1,24814.6875
