delta_norm,delta_sq,group,layer,mask,n_prompts,pca_energy_fraction,pca_sq,residual_energy_fraction,residual_norm,residual_sq
9.402447004587277,88.40600967407227,stress_donor_failed,14,target,2,0.7790166214996652,68.8697509765625,0.22098428464509653,4.419993077613623,19.536338806152344
9.861549198168136,97.25015258789062,stress_donor_failed,15,target,2,0.7606792527551289,73.9761734008789,0.2393208453089143,4.824312253964795,23.273988723754883
12.464799986702397,155.3712387084961,stress_donor_failed,16,target,2,0.7606217614799327,118.17874526977539,0.23937823852006737,6.098564867140523,37.1924934387207
16.36459415985015,267.79994201660156,stress_donor_failed,17,target,2,0.762093006043063,204.08846282958984,0.23790706517982896,7.981948274732056,63.71149826049805
19.637166716468816,385.6183166503906,stress_donor_failed,18,target,2,0.758518281305682,292.49854278564453,0.24148130321279596,9.649850446896105,93.11961364746094
25.96878701768571,674.3778991699219,stress_donor_failed,19,target,2,0.7887890156649817,531.9418792724609,0.21121128979231846,11.934664883904922,142.43622589111328
27.1324829468181,736.171630859375,stress_donor_failed,20,target,2,0.7547244374550427,555.6067199707031,0.2452754899996982,13.437442371333548,180.56485748291016
33.418320561780504,1116.7841491699219,stress_donor_failed,21,target,2,0.7432538129820307,830.0540771484375,0.25674637830206565,16.933112107481342,286.73028564453125
36.99618180652861,1368.7174682617188,stress_donor_failed,22,target,2,0.7538043699044467,1031.7452087402344,0.24619591994975978,18.35681498109081,336.97265625
37.12373981841631,1378.1720581054688,stress_donor_failed,23,target,2,0.7481820060796358,1031.12353515625,0.2518181599967511,18.629244531946394,347.0487518310547
41.48688566437479,1721.1616821289062,stress_donor_failed,24,target,2,0.7558665640786066,1300.9685668945312,0.24413371074883455,20.498624057649234,420.19358825683594
6.809472347437259,46.368913650512695,stress_donor_solved_extra,12,all,2,0.8151200306532133,37.79623031616211,0.1848800207645492,2.9279149097158506,8.572685718536377
7.125262740795332,50.76936912536621,stress_donor_solved_extra,13,all,2,0.8206168728403291,41.662200927734375,0.17938315533633525,3.0178087461175056,9.10716962814331
8.342137327327348,69.59125518798828,stress_donor_solved_extra,14,all,2,0.8308268189375281,57.818281173706055,0.16917414719017176,3.431186565653569,11.773041248321533
8.449784667753166,71.39886093139648,stress_donor_solved_extra,15,all,2,0.8232618554160723,58.779958724975586,0.17673833158187494,3.5523112979947755,12.618915557861328
10.172406395129707,103.47785186767578,stress_donor_solved_extra,16,all,2,0.8183749833831612,84.68368530273438,0.18162515486009082,4.3352255846790895,18.794180870056152
12.587780770709559,158.4522247314453,stress_donor_solved_extra,17,all,2,0.8371189990683073,132.64336776733398,0.16288127177259956,5.080246045169029,25.808899879455566
14.606217803070793,213.3415985107422,stress_donor_solved_extra,18,all,2,0.8335662234994605,177.8343505859375,0.1664334859391534,5.958790643744259,35.50718593597412
19.329340730763104,373.6234130859375,stress_donor_solved_extra,19,all,2,0.862619836881678,322.2949676513672,0.13738032137341405,7.164391430008409,51.32850456237793
20.196142844390252,407.8841857910156,stress_donor_solved_extra,20,all,2,0.8320909601244214,339.39674377441406,0.16790905858038455,8.275714449278448,68.4874496459961
25.687147152001792,659.8295288085938,stress_donor_solved_extra,21,all,2,0.8357926680984034,551.4806823730469,0.16420733768293425,10.409075379218086,108.34885025024414
30.50044975574515,930.2774353027344,stress_donor_solved_extra,22,all,2,0.8747513518125694,813.7614440917969,0.1252490090403834,10.794272875200852,116.51632690429688
33.46939921172398,1120.20068359375,stress_donor_solved_extra,23,all,2,0.8867294820220463,993.3149719238281,0.11327084829879726,11.264372228205024,126.88608169555664
38.9161406542063,1514.4660034179688,stress_donor_solved_extra,24,all,2,0.8737991531942657,1323.339111328125,0.12620092740860833,13.824869408430455,191.12701416015625
7.552831475043335,57.04526329040527,stress_donor_solved_extra,12,target,2,0.8417616109750965,48.01851272583008,0.15823833887134497,3.0044546432842427,9.026747703552246
8.38669578005413,70.33666610717773,stress_donor_solved_extra,13,target,2,0.8297642113563941,58.36284828186035,0.17023570729135792,3.4603196533371716,11.973812103271484
9.966256047936813,99.32625961303711,stress_donor_solved_extra,14,target,2,0.8315987962569624,82.5995979309082,0.1684021926905221,4.089836171606816,16.726759910583496
10.546078890671248,111.21977996826172,stress_donor_solved_extra,15,target,2,0.8072443240574246,89.78153610229492,0.1927558474362282,4.630147183346672,21.438262939453125
13.951567662251257,194.646240234375,stress_donor_solved_extra,16,target,2,0.8231099823648421,160.21526336669922,0.1768898755489037,5.867789124629532,34.430949211120605
18.086492634568827,327.1212158203125,stress_donor_solved_extra,17,target,2,0.8332627117853463,272.5779113769531,0.16673755642726987,7.385349834733388,54.543392181396484
21.545780853972822,464.2206726074219,stress_donor_solved_extra,18,target,2,0.8326341183557293,386.5259704589844,0.16736532285956038,8.81444511861203,77.69444274902344
27.890387013165316,777.8736877441406,stress_donor_solved_extra,19,target,2,0.8568721504046883,666.5382995605469,0.1431282124917588,10.551571943136786,111.3356704711914
28.61690063499409,818.927001953125,stress_donor_solved_extra,20,target,2,0.8269623545720823,677.2218017578125,0.17303743581048348,11.903992125918748,141.70502853393555
35.8463654233243,1284.9619140625,stress_donor_solved_extra,21,target,2,0.8318239707220165,1068.8621215820312,0.1681762430261111,14.700342415694672,216.10006713867188
39.79960330017829,1584.0084228515625,stress_donor_solved_extra,22,target,2,0.8448541202017817,1338.2560424804688,0.1551461784219213,15.67650641544712,245.7528533935547
40.64503787676801,1652.0191040039062,stress_donor_solved_extra,23,target,2,0.8493400428371695,1403.1259765625,0.15065996178105473,15.776347329809926,248.89313507080078
45.468156004496365,2067.3532104492188,stress_donor_solved_extra,24,target,2,0.844989897853698,1746.892578125,0.15501030880962957,17.9014261881648,320.4610595703125
6.808038212867296,46.34938430786133,stress_permission_residual,12,all,1,0.8253945013145038,38.256526947021484,0.17460551926126727,2.8447949512248085,8.09285831451416
7.040186107516392,49.5642204284668,stress_permission_residual,13,all,1,0.8306114625278314,41.168609619140625,0.16938855671335323,2.89751820753563,8.395611763000488
8.256296240585405,68.16642761230469,stress_permission_residual,14,all,1,0.840323860539402,57.28187561035156,0.1596771327776727,3.299184704260977,10.88461971282959
8.30784074808297,69.02021789550781,stress_permission_residual,15,all,1,0.8270359707904102,57.08220291137695,0.17296419501740873,3.4551449214501346,11.938026428222656
10.311568154513443,106.32843780517578,stress_permission_residual,16,all,1,0.8200901635044958,87.19890594482422,0.1799099800016948,4.373733773235475,19.129547119140625
13.104405694589833,171.72544860839844,stress_permission_residual,17,all,1,0.8347584754810182,143.34927368164062,0.16524176887222272,5.326933159748462,28.376216888427734
14.924822291557454,222.7503204345703,stress_permission_residual,18,all,1,0.8244494427895561,183.64637756347656,0.17555033457972286,6.25331058560418,39.1038932800293
19.750122842527382,390.0673522949219,stress_permission_residual,19,all,1,0.8544597298940902,333.2968444824219,0.1455403972405294,7.534623905913583,56.77055740356445
20.50116931092552,420.2979431152344,stress_permission_residual,20,all,1,0.8272250077201936,347.68096923828125,0.17277495597511036,8.52155846181695,72.61695861816406
25.81503349968471,666.4159545898438,stress_permission_residual,21,all,1,0.8307248236694971,553.6082763671875,0.16927523357248883,10.6210977007854,112.8077163696289
30.650851055234277,939.4746704101562,stress_permission_residual,22,all,1,0.8687882223075315,816.2045288085938,0.13121217561733414,11.102725586174529,123.27051544189453
33.50520307075455,1122.5986328125,stress_permission_residual,23,all,1,0.8785670215329423,986.2781372070312,0.12143338623850737,11.675656442750473,136.32095336914062
38.877736476738036,1511.4783935546875,stress_permission_residual,24,all,1,0.8699618826669065,1314.9285888671875,0.13003811733309342,14.019622130695963,196.5498046875
7.584940757444669,57.53132629394531,stress_permission_residual,12,target,1,0.8339722621607994,47.979530334472656,0.16602775441580978,3.0905981481174436,9.551796913146973
8.20026503343961,67.24434661865234,stress_permission_residual,13,target,1,0.8138504950900577,54.726844787597656,0.18614940563438162,3.5380072294067566,12.517495155334473
9.884577102838195,97.70486450195312,stress_permission_residual,14,target,1,0.8107752921748642,79.21669006347656,0.18922572294479653,4.29979925352399,18.48827362060547
10.354195567243577,107.20936584472656,stress_permission_residual,15,target,1,0.7703730092186631,82.59120178222656,0.2296271508992292,4.9616712132745855,24.618181228637695
14.720117331327454,216.68185424804688,stress_permission_residual,16,target,1,0.8063285546625173,174.71676635742188,0.19367133970711656,6.478044844120903,41.965065002441406
