active_count,benign_delta_abs_mean,benign_delta_abs_sum,feature_id,group,harm_delta_abs_mean,harm_delta_abs_sum,harm_donor_mean,harm_minus_benign_delta_mean,layer,layers,rank
4.0,0.0,0.0,15946,l19_tail,0.12050039556962025,9.51953125,0.07703718354430379,0.12050039556962025,19,19,55
10.0,0.04771205357142857,4.0078125,11063,l19_tail,0.12045094936708861,9.515625,0.4389833860759494,0.07273889579566004,19,19,56
3.0,0.0,0.0,8414,l19_tail,0.12035205696202532,9.5078125,0.03567543512658228,0.12035205696202532,19,19,57
8.0,0.022507440476190476,1.890625,4043,l19_tail,0.12025316455696203,9.5,0.2587025316455696,0.09774572408077155,19,19,58
3.0,0.0,0.0,8847,l19_tail,0.12025316455696203,9.5,0.12025316455696203,0.12025316455696203,19,19,59
6.0,0.04936290922619048,4.146484375,5182,l19_tail,0.12022844145569621,9.498046875,0.047789754746835444,0.07086553222950573,19,19,60
11.0,0.07654389880952381,6.4296875,904,l19_tail,0.12012954905063292,9.490234375,0.18406348892405064,0.04358565024110911,19,19,61
23.0,0.05040922619047619,4.234375,10734,l19_tail,0.12010482594936708,9.48828125,0.3439972310126582,0.06969559975889089,19,19,62
6.0,0.012555803571428572,1.0546875,15849,l19_tail,0.12003065664556962,9.482421875,0.1785007911392405,0.10747485307414105,19,19,63
7.0,0.04575892857142857,3.84375,10451,l19_tail,0.11995648734177215,9.4765625,0.13301028481012658,0.07419755877034359,19,19,64
4.0,0.003720238095238095,0.3125,12025,l19_tail,0.11985759493670886,9.46875,0.22171677215189872,0.11613735684147077,19,19,65
6.0,0.000744047619047619,0.0625,6282,l19_tail,0.11956091772151899,9.4453125,0.1975870253164557,0.11881687010247137,19,19,66
1.0,0.0,0.0,14649,l19_tail,0.11926424050632911,9.421875,0.11926424050632911,0.11926424050632911,19,19,67
3.0,0.0,0.0,8337,l19_tail,0.11916534810126582,9.4140625,0.03293117088607595,0.11916534810126582,19,19,68
4.0,0.0038132440476190475,0.3203125,14337,l19_tail,0.11916534810126582,9.4140625,0.11916534810126582,0.11535210405364678,19,19,69
3.0,0.0,0.0,6372,l19_tail,0.11901700949367089,9.40234375,0.11901700949367089,0.11901700949367089,19,19,70
5.0,0.0,0.0,6021,l19_tail,0.11901700949367089,9.40234375,0.16913073575949367,0.11901700949367089,19,19,71
4.0,0.005766369047619048,0.484375,11117,l19_tail,0.11886867088607594,9.390625,0.29371044303797467,0.1131023018384569,19,19,72
3.0,0.0,0.0,11381,l19_tail,0.11862143987341772,9.37109375,0.11862143987341772,0.11862143987341772,19,19,73
