layer,model_a,model_b,n,row_cosine,split
22,base,math_slerp,8,0.9535898566246033,benign
22,base,math_slerp,8,0.8605230450630188,arith
22,base,math_slerp,8,0.8129494190216064,polite
23,base,math_slerp,8,0.9268219470977783,harmful
23,base,math_slerp,8,0.9586273431777954,benign
23,base,math_slerp,8,0.8547530174255371,arith
23,base,math_slerp,8,0.8310010433197021,polite
24,base,math_slerp,8,0.9193524718284607,harmful
24,base,math_slerp,8,0.9556521773338318,benign
24,base,math_slerp,8,0.8524830937385559,arith
24,base,math_slerp,8,0.8097169399261475,polite
25,base,math_slerp,8,0.9356298446655273,harmful
25,base,math_slerp,8,0.9629032015800476,benign
25,base,math_slerp,8,0.8619733452796936,arith
25,base,math_slerp,8,0.8518336415290833,polite
26,base,math_slerp,8,0.9476317167282104,harmful
26,base,math_slerp,8,0.9684548377990723,benign
26,base,math_slerp,8,0.8686656355857849,arith
26,base,math_slerp,8,0.8849813342094421,polite
27,base,math_slerp,8,0.9091988801956177,harmful
27,base,math_slerp,8,0.9220197796821594,benign
27,base,math_slerp,8,0.8008179664611816,arith
27,base,math_slerp,8,0.7886581420898438,polite
0,base,abliterated,8,0.9751127362251282,harmful
0,base,abliterated,8,0.9749429225921631,benign
0,base,abliterated,8,0.9757031202316284,arith
0,base,abliterated,8,0.9749218821525574,polite
1,base,abliterated,8,0.9749898910522461,harmful
1,base,abliterated,8,0.9747410416603088,benign
1,base,abliterated,8,0.9765352606773376,arith
1,base,abliterated,8,0.9756065607070923,polite
2,base,abliterated,8,0.9702962040901184,harmful
2,base,abliterated,8,0.9698477387428284,benign
2,base,abliterated,8,0.9718688726425171,arith
2,base,abliterated,8,0.9701948165893555,polite
3,base,abliterated,8,0.96506667137146,harmful
3,base,abliterated,8,0.9651820063591003,benign
3,base,abliterated,8,0.9653132557868958,arith
3,base,abliterated,8,0.9649180173873901,polite
4,base,abliterated,8,0.962279736995697,harmful
4,base,abliterated,8,0.9621814489364624,benign
4,base,abliterated,8,0.9657094478607178,arith
4,base,abliterated,8,0.9603105187416077,polite
5,base,abliterated,8,0.966266393661499,harmful
5,base,abliterated,8,0.9671801924705505,benign
5,base,abliterated,8,0.9690298438072205,arith
5,base,abliterated,8,0.96652752161026,polite
6,base,abliterated,8,0.9553688764572144,harmful
6,base,abliterated,8,0.9566875696182251,benign
6,base,abliterated,8,0.9585974216461182,arith
6,base,abliterated,8,0.9568224549293518,polite
7,base,abliterated,8,0.9480825066566467,harmful
7,base,abliterated,8,0.9488645792007446,benign
7,base,abliterated,8,0.9500977993011475,arith
7,base,abliterated,8,0.9542665481567383,polite
8,base,abliterated,8,0.9430667161941528,harmful
8,base,abliterated,8,0.9440293312072754,benign
8,base,abliterated,8,0.9447586536407471,arith
8,base,abliterated,8,0.9473491311073303,polite
9,base,abliterated,8,0.932226836681366,harmful
9,base,abliterated,8,0.9353084564208984,benign
9,base,abliterated,8,0.9379569292068481,arith
9,base,abliterated,8,0.9355490803718567,polite
10,base,abliterated,8,0.9348157048225403,harmful
10,base,abliterated,8,0.9337002635002136,benign
10,base,abliterated,8,0.942419171333313,arith
10,base,abliterated,8,0.9414339065551758,polite
11,base,abliterated,8,0.9383390545845032,harmful
11,base,abliterated,8,0.9381674528121948,benign
11,base,abliterated,8,0.9449533224105835,arith
11,base,abliterated,8,0.9483047127723694,polite
12,base,abliterated,8,0.9405894875526428,harmful
12,base,abliterated,8,0.9399427175521851,benign
12,base,abliterated,8,0.9498576521873474,arith
12,base,abliterated,8,0.9514570236206055,polite
13,base,abliterated,8,0.92607182264328,harmful
13,base,abliterated,8,0.9331873655319214,benign
13,base,abliterated,8,0.9470416307449341,arith
13,base,abliterated,8,0.9486063718795776,polite
14,base,abliterated,8,0.9203980565071106,harmful
14,base,abliterated,8,0.9276539087295532,benign
14,base,abliterated,8,0.956142008304596,arith
14,base,abliterated,8,0.9475855231285095,polite
15,base,abliterated,8,0.9070878028869629,harmful
15,base,abliterated,8,0.9325838088989258,benign
15,base,abliterated,8,0.9563452005386353,arith
15,base,abliterated,8,0.9494965076446533,polite
16,base,abliterated,8,0.8667530417442322,harmful
16,base,abliterated,8,0.9251894950866699,benign
16,base,abliterated,8,0.9524531960487366,arith
16,base,abliterated,8,0.9392116665840149,polite
17,base,abliterated,8,0.831392228603363,harmful
17,base,abliterated,8,0.9151509404182434,benign
17,base,abliterated,8,0.9465965628623962,arith
17,base,abliterated,8,0.9349918365478516,polite
18,base,abliterated,8,0.7933248281478882,harmful
18,base,abliterated,8,0.9130842685699463,benign
18,base,abliterated,8,0.9436818361282349,arith
18,base,abliterated,8,0.9309579133987427,polite
19,base,abliterated,8,0.7759025692939758,harmful
19,base,abliterated,8,0.9039424061775208,benign
19,base,abliterated,8,0.9478965401649475,arith
19,base,abliterated,8,0.926228404045105,polite
20,base,abliterated,8,0.7547115087509155,harmful
20,base,abliterated,8,0.9035433530807495,benign
20,base,abliterated,8,0.948013424873352,arith
20,base,abliterated,8,0.9185031652450562,polite
21,base,abliterated,8,0.7422451972961426,harmful
21,base,abliterated,8,0.900576651096344,benign
21,base,abliterated,8,0.9509362578392029,arith
21,base,abliterated,8,0.9135251641273499,polite
22,base,abliterated,8,0.7242953777313232,harmful
22,base,abliterated,8,0.8989065885543823,benign
22,base,abliterated,8,0.9563463926315308,arith
22,base,abliterated,8,0.906123161315918,polite
23,base,abliterated,8,0.7454069256782532,harmful
23,base,abliterated,8,0.9044830799102783,benign
23,base,abliterated,8,0.9539416432380676,arith
23,base,abliterated,8,0.9039265513420105,polite
24,base,abliterated,8,0.7255930304527283,harmful
24,base,abliterated,8,0.8941848874092102,benign
24,base,abliterated,8,0.9476574659347534,arith
24,base,abliterated,8,0.8887581825256348,polite
25,base,abliterated,8,0.7765275239944458,harmful
25,base,abliterated,8,0.9035062789916992,benign
25,base,abliterated,8,0.9466655254364014,arith
25,base,abliterated,8,0.8981867432594299,polite
26,base,abliterated,8,0.8205454349517822,harmful
26,base,abliterated,8,0.9148736000061035,benign
26,base,abliterated,8,0.9458907842636108,arith
26,base,abliterated,8,0.9042462706565857,polite
27,base,abliterated,8,0.7849657535552979,harmful
27,base,abliterated,8,0.9023162126541138,benign
27,base,abliterated,8,0.9123084545135498,arith
27,base,abliterated,8,0.8742398023605347,polite
0,matrix,math_slerp,8,0.9695990085601807,harmful
0,matrix,math_slerp,8,0.9701858162879944,benign
0,matrix,math_slerp,8,0.970994234085083,arith
0,matrix,math_slerp,8,0.9706815481185913,polite
1,matrix,math_slerp,8,0.9447557926177979,harmful
1,matrix,math_slerp,8,0.947468638420105,benign
1,matrix,math_slerp,8,0.9470006823539734,arith
1,matrix,math_slerp,8,0.9462460279464722,polite
2,matrix,math_slerp,8,0.919185996055603,harmful
2,matrix,math_slerp,8,0.9149260520935059,benign
2,matrix,math_slerp,8,0.9188298583030701,arith
2,matrix,math_slerp,8,0.918791651725769,polite
3,matrix,math_slerp,8,0.8549052476882935,harmful
3,matrix,math_slerp,8,0.8604598641395569,benign
3,matrix,math_slerp,8,0.8630341291427612,arith
3,matrix,math_slerp,8,0.8501327037811279,polite
4,matrix,math_slerp,8,0.8834279775619507,harmful
4,matrix,math_slerp,8,0.8856843709945679,benign
4,matrix,math_slerp,8,0.8831188082695007,arith
4,matrix,math_slerp,8,0.8872283101081848,polite
5,matrix,math_slerp,8,0.9102898836135864,harmful
5,matrix,math_slerp,8,0.9126005172729492,benign
5,matrix,math_slerp,8,0.9139316082000732,arith
5,matrix,math_slerp,8,0.9125136137008667,polite
6,matrix,math_slerp,8,0.9330848455429077,harmful
6,matrix,math_slerp,8,0.9347121715545654,benign
6,matrix,math_slerp,8,0.9371984004974365,arith
6,matrix,math_slerp,8,0.9356393814086914,polite
7,matrix,math_slerp,8,0.9351212978363037,harmful
7,matrix,math_slerp,8,0.9362871050834656,benign
7,matrix,math_slerp,8,0.9381978511810303,arith
7,matrix,math_slerp,8,0.9397066831588745,polite
8,matrix,math_slerp,8,0.9123735427856445,harmful
8,matrix,math_slerp,8,0.9051992297172546,benign
8,matrix,math_slerp,8,0.9265926480293274,arith
8,matrix,math_slerp,8,0.9230580925941467,polite
9,matrix,math_slerp,8,0.918986976146698,harmful
9,matrix,math_slerp,8,0.9140294790267944,benign
9,matrix,math_slerp,8,0.9256476759910583,arith
9,matrix,math_slerp,8,0.9236021041870117,polite
10,matrix,math_slerp,8,0.911180317401886,harmful
10,matrix,math_slerp,8,0.9100853204727173,benign
10,matrix,math_slerp,8,0.9183732271194458,arith
10,matrix,math_slerp,8,0.914271891117096,polite
11,matrix,math_slerp,8,0.886721670627594,harmful
11,matrix,math_slerp,8,0.8881609439849854,benign
11,matrix,math_slerp,8,0.9040542244911194,arith
11,matrix,math_slerp,8,0.8947035670280457,polite
12,matrix,math_slerp,8,0.907481849193573,harmful
12,matrix,math_slerp,8,0.9066100120544434,benign
12,matrix,math_slerp,8,0.9129955172538757,arith
12,matrix,math_slerp,8,0.9127533435821533,polite
13,matrix,math_slerp,8,0.9133284687995911,harmful
13,matrix,math_slerp,8,0.9090861082077026,benign
13,matrix,math_slerp,8,0.9253930449485779,arith
13,matrix,math_slerp,8,0.9095073342323303,polite
14,matrix,math_slerp,8,0.9381349086761475,harmful
14,matrix,math_slerp,8,0.9369255900382996,benign
14,matrix,math_slerp,8,0.9436646699905396,arith
14,matrix,math_slerp,8,0.9325610995292664,polite
15,matrix,math_slerp,8,0.9381598234176636,harmful
15,matrix,math_slerp,8,0.9393113255500793,benign
15,matrix,math_slerp,8,0.938643753528595,arith
15,matrix,math_slerp,8,0.929107129573822,polite
16,matrix,math_slerp,8,0.938772976398468,harmful
16,matrix,math_slerp,8,0.9411054849624634,benign
16,matrix,math_slerp,8,0.9379615187644958,arith
16,matrix,math_slerp,8,0.9278905987739563,polite
17,matrix,math_slerp,8,0.9430391192436218,harmful
17,matrix,math_slerp,8,0.944962739944458,benign
17,matrix,math_slerp,8,0.9373132586479187,arith
17,matrix,math_slerp,8,0.9291235208511353,polite
18,matrix,math_slerp,8,0.9421359300613403,harmful
18,matrix,math_slerp,8,0.9470634460449219,benign
18,matrix,math_slerp,8,0.9463180899620056,arith
18,matrix,math_slerp,8,0.9262077808380127,polite
19,matrix,math_slerp,8,0.947627067565918,harmful
19,matrix,math_slerp,8,0.9517033100128174,benign
19,matrix,math_slerp,8,0.9478879570960999,arith
19,matrix,math_slerp,8,0.9284927248954773,polite
20,matrix,math_slerp,8,0.9387338161468506,harmful
20,matrix,math_slerp,8,0.9496310949325562,benign
20,matrix,math_slerp,8,0.9257887601852417,arith
20,matrix,math_slerp,8,0.9266986846923828,polite
21,matrix,math_slerp,8,0.9446341395378113,harmful
21,matrix,math_slerp,8,0.9554193615913391,benign
21,matrix,math_slerp,8,0.9262853264808655,arith
21,matrix,math_slerp,8,0.9359137415885925,polite
22,matrix,math_slerp,8,0.947200357913971,harmful
22,matrix,math_slerp,8,0.9576389789581299,benign
22,matrix,math_slerp,8,0.905328094959259,arith
22,matrix,math_slerp,8,0.9410598278045654,polite
23,matrix,math_slerp,8,0.9545312523841858,harmful
23,matrix,math_slerp,8,0.9649770259857178,benign
23,matrix,math_slerp,8,0.8824461698532104,arith
23,matrix,math_slerp,8,0.9502437114715576,polite
24,matrix,math_slerp,8,0.94648677110672,harmful
24,matrix,math_slerp,8,0.9595935940742493,benign
24,matrix,math_slerp,8,0.884243369102478,arith
24,matrix,math_slerp,8,0.9452453255653381,polite
25,matrix,math_slerp,8,0.9513683319091797,harmful
25,matrix,math_slerp,8,0.9605538845062256,benign
25,matrix,math_slerp,8,0.8924884796142578,arith
25,matrix,math_slerp,8,0.9522650837898254,polite
26,matrix,math_slerp,8,0.9580311179161072,harmful
26,matrix,math_slerp,8,0.9653965830802917,benign
26,matrix,math_slerp,8,0.9029823541641235,arith
26,matrix,math_slerp,8,0.9589520692825317,polite
27,matrix,math_slerp,8,0.8610407710075378,harmful
27,matrix,math_slerp,8,0.8643697500228882,benign
27,matrix,math_slerp,8,0.844825267791748,arith
27,matrix,math_slerp,8,0.879297137260437,polite
0,matrix,abliterated,8,0.9142603874206543,harmful
0,matrix,abliterated,8,0.9164128303527832,benign
0,matrix,abliterated,8,0.915164053440094,arith
0,matrix,abliterated,8,0.9139049053192139,polite
1,matrix,abliterated,8,0.8664080500602722,harmful
1,matrix,abliterated,8,0.8664654493331909,benign
1,matrix,abliterated,8,0.8694267272949219,arith
1,matrix,abliterated,8,0.8654281497001648,polite
2,matrix,abliterated,8,0.8135619163513184,harmful
2,matrix,abliterated,8,0.8024060130119324,benign
2,matrix,abliterated,8,0.8163124918937683,arith
2,matrix,abliterated,8,0.8200033903121948,polite
3,matrix,abliterated,8,0.697547197341919,harmful
3,matrix,abliterated,8,0.6905719041824341,benign
3,matrix,abliterated,8,0.7225592732429504,arith
3,matrix,abliterated,8,0.7112442851066589,polite
4,matrix,abliterated,8,0.6900436282157898,harmful
4,matrix,abliterated,8,0.6846123933792114,benign
4,matrix,abliterated,8,0.6971993446350098,arith
4,matrix,abliterated,8,0.6955515146255493,polite
5,matrix,abliterated,8,0.7934581637382507,harmful
5,matrix,abliterated,8,0.787380576133728,benign
5,matrix,abliterated,8,0.7991905212402344,arith
5,matrix,abliterated,8,0.7915745973587036,polite
6,matrix,abliterated,8,0.8070720434188843,harmful
6,matrix,abliterated,8,0.794142484664917,benign
6,matrix,abliterated,8,0.8172810077667236,arith
6,matrix,abliterated,8,0.8106343150138855,polite
7,matrix,abliterated,8,0.7878450751304626,harmful
7,matrix,abliterated,8,0.7742969989776611,benign
7,matrix,abliterated,8,0.8139565587043762,arith
7,matrix,abliterated,8,0.8036630749702454,polite
8,matrix,abliterated,8,0.7499005794525146,harmful
8,matrix,abliterated,8,0.7284752130508423,benign
8,matrix,abliterated,8,0.7868764996528625,arith
8,matrix,abliterated,8,0.7636828422546387,polite
9,matrix,abliterated,8,0.7423864006996155,harmful
9,matrix,abliterated,8,0.7258914113044739,benign
9,matrix,abliterated,8,0.777315616607666,arith
9,matrix,abliterated,8,0.7454125285148621,polite
10,matrix,abliterated,8,0.7562851309776306,harmful
10,matrix,abliterated,8,0.7370515465736389,benign
